title,img_src,author,publisher,price,abstract
공부머리 독서법,http://image.yes24.com/goods/59993940/S,최승필,책구루,"14,850원",12년 동안 아이들과 함께 독서 논술 수업을 하면서 축적한 노하우를 집약한 독서교육 지침서. 가정에서 실현 가능한 독서법만을 모아 실제 사례와 데이터를 바탕으로 직접 효과를 본 내용들을 알차게 채웠다. 어린이 책 작가이면서 그 역시 세 아이에게 매일 책을 읽어줘야 하는 아빠답게 독서교육의 본질과 원리를 꿰뚫으...
당신이 옳다,http://image.yes24.com/goods/64694842/S,정혜신,해냄,"14,220원","‘적정심리학’이란 새로운 패러다임을 통해 강력한 치유 원리와 구조를 제시한다. 이는 간단하지만 본질을 건드려 세상을 변화시키는 적정기술처럼, 사람의 마음과 존재의 본질을 움직여 상처를 치유하고 삶을 회복시키는 심리학을 뜻한다. 복잡한 이론과 전문가의 진단에만 의존하지 않고 스스로 나와 남을 돌보고 치유할..."
코스모스,http://image.yes24.com/goods/2312211/S,칼 세이건,사이언스북스,"16,650원","전 세계 60개국에 방송되어 6억 시청자를 감동시킨 텔레비전 교양 프로그램을 책으로 옮긴 칼 세이건(Carl Sagan)의 『코스모스(Cosmos)』. 현대 천문학을 대표하는 저명한 과학자인 칼 세이건은 이 책에서 사람들의 상상력을 사로잡고, 난해한 개념을 명쾌하게 해설하는 놀라운 능력을 마음껏 발휘한다. 그는 에라토스테네..."
나는 나로 살기로 했다,http://image.yes24.com/goods/33529377/S,김수현,마음의숲,"12,420원","진짜 ‘나’로 살기 위한 뜨거운 조언들. 어른이 처음인 당신을 위한 단단한 위로들. 이 책은 우리가 온전한 ‘나’로 살아가기 위해 무엇이 필요한지 말해준다. 돈 많고 잘나가는 타인의 SNS를 훔쳐보며 비참해질 필요 없고, 스스로에게 변명하고 모두에게 이해받으려 애쓰지 말라고 이야기한다. 불안하다고 무작정 열심히..."
지리의 힘,http://image.yes24.com/goods/30217950/S,팀 마샬,사이,"15,300원","사드, 남중국해, IS, 영유권 분쟁, 유럽의 분열, 모든 것은 지리에서 시작되었다! 우리의 삶은 언제나 우리가 살고 있는 [땅]에 의해 형성돼 왔다.  한니발도, 순자도, 알렉산드로스 대왕도 인정했던  [지리의 법칙]은 21세기에도 변함없이 힘을 발휘하고 있다.  [지리의 힘]이 21세기 현대사에 미치는 영향 집중 해부..."
사피엔스,http://image.yes24.com/goods/23030284/S,유발 하라리,김영사,"19,800원","변방의 유인원 호모 사피엔스는 어떻게 세상의 지배자가 되었는가? 과학은 모든 종교의 미래인가? 인간의 유효기간은 언제까지인가? 멀고먼 인류의 시원부터 인지혁명, 농업혁명, 과학혁명을 거쳐 끊임없이 진화해온 인간의 역사를 다양하고 생생한 시각으로 조명한 전인미답의 문제작. 호모 사피엔스부터 인공지능까지, 역..."
아몬드,http://image.yes24.com/goods/37300128/S,손원평,창비,"10,800원","'감정을 느끼지 못하는' 소년의 특별한 성장 이야기. 타인의 감정에 무감각해진 '공감 불능'인 이 시대에 큰 울림을 주는 소설로, 작품 속 인물들이 타인과 관계 맺고 슬픔에 공감하며 성장해 나가는 과정을 탁월하게 묘사했다. 『완득이』, 『위저드 베이커리』를 잇는 제10회 창비청소년문학상 수상작."
"총, 균, 쇠",http://image.yes24.com/goods/1940233/S,재레드 다이아몬드,문학사상,"25,200원",왜 어떤 민족들은 다른 민족들의 정복과 지배의 대상으로 전락하고 말았는가. 왜 원주민들은 유라시아인들에 의해 도태되고 말았는가. 왜 각 대륙들마다 문명의 발달 속도에 차이가 생겨났는가. '인간 사회의 다양한 문명은 어디서 비롯되는가?'라는 의문을 명쾌하게 분석하여 1998년 퓰리처 상을 수상한 책. 2005년 12월 ...
하버드 상위 1퍼센트의 비밀 (하드커버 리커버 에디션),http://image.yes24.com/goods/65282018/S,정주영,한국경제신문사(한경비피),"14,400원",하버드에서 찾은 가장 강력한 성공 공식! Black Diamond=Block(차단)×Deep(깊은 이해)  “신호를 차단하고 깊이 몰입하라”  하버드에서 똑같은 수업을 들으면서도 자신들은 다른 하버드생들과 다르다고 선 긋는 집단이 있다. 그들은 하버드에서도 가장 폐쇄적인 투자자 집단인 ‘블랙 다이아몬드’다. 그들은 사회가 ...
꽃을 보듯 너를 본다,http://image.yes24.com/goods/24259730/S,나태주,지혜,"9,000원",나태주 시집 『꽃을 보듯 너를 본다』. 이 시집은 시인 나태주의 시 가운데 인터넷의 블로그나 트위터에서 자주 오르내리는 시들만 모아 엮은 책이다.
푸른 사자 와니니,http://image.yes24.com/goods/18841857/S,이현,창비,"9,720원","“나는 약하지만, 우리는 강해!” ‘함께’라는 말의 의미를 다시 생각하게 하는 이야기  무리를 위해 냉정하게 판단하고 행동하는 마디바와 부족한 힘이나마 한데 모아서 어려움을 헤쳐 나가려는 와니니의 모습을 나란히 보여 주면서, ‘함께’라는 말의 의미가 무엇인지 곰곰이 생각하게하는 책입니다."
페스트,http://image.yes24.com/goods/4827619/S,알베르 까뮈,민음사,"11,700원","위험이 도사리는 폐쇄된 도시,  극한의 절망과 마주하는 다양한 인간 군상.  페스트라는 비극의 소용돌이 속에서도 현실을 직시하며 의연히 운명과 대결하는 인간의 모습을 다룬 걸작. 카뮈는 이 작품에서 공포와 죽음, 이별의 아픔 등 인간이 경험하게 되는 극한의 고통과 절망을 그려낸다."
설민석의 조선왕조실록,http://image.yes24.com/goods/29433467/S,설민석,세계사,"19,800원","대한민국 대표 한국사 강사 설민석이 27명의 조선의 왕들을 한 권으로 불러 모아 핵심적인 주요 사건들을 풀어썼다. 설민석 특유의 흡입력 있는 간결함과 재치 있는 말투를 그대로 책에 녹여냈고, 책 중간중간의 질의응답 구성을 통해 바로 앞에서 강연을 듣고 있다는 느낌을 준다."
해커스 토익 실전 1000제 1 READING 문제집,http://image.yes24.com/goods/61811179/S,해커스 어학연구소,해커스어학연구소,"10,710원",토익 최신 출제경향을 분석 반영한 전면개정판. 실전모의고사 10회분으로 토익 실전을 대비하고 실제 시험과 동일한 형태와 구성의 모의고사로 최종 마무리하자. 토익 단기 고득점을 위한 리딩 핵심 대비 전략 수록. 해커스인강에서 온라인 실전 모의고사 및 단어 암기 MP3를 제공한다.
82년생 김지영,http://image.yes24.com/goods/32972572/S,조남주,민음사,"11,700원","문학성과 다양성, 참신성을 기치로 한국문학의 미래를 이끌어 갈 신예들의 작품을 엄선한 「오늘의 젊은 작가」의 열세 번째 작품. 서민들의 일상 속 비극을 사실적이면서 공감대 높은 스토리로 표현하는 데 재능을 보이는 작가 조남주는 이번 작품에서 1982년생 '김지영 씨'의 기억을 바탕으로 한 고백을 한 축으로, 고백..."
해커스 토익 실전 1000제 1 LISTENING 문제집,http://image.yes24.com/goods/61811021/S,해커스 어학연구소,해커스어학연구소,"10,710원","토익 최신 출제경향을 분석 반영한 전면개정판. 실제 시험과 동일한 형태와 구성의 실전모의고사 10회분으로 토익 실전을 완벽하게 대비한다. 토익 단기 고득점을 위한 리스닝 핵심 대비 전략을 수록했으며, 토익 실전에 대비할 수 있는 6가지 버전의 MP3를 제공한다."
알사탕,http://image.yes24.com/goods/37525716/S,백희나,책읽는곰,"10,800원","들을 수 없던 네 마음이 들린다! 말하지 못한 내 마음을 전한다! 백희나 표 마법 알사탕!  동네 문방구에서 알사탕을 한 봉지 샀다. 크기도 모양도 색깔도 가지가지인  알사탕 한 알을 골라 입에 넣었더니, 원래는 들을 수 없던 마음의 소리가 들린다."
만복이네 떡집,http://image.yes24.com/goods/3906369/S,김리리,비룡소,"7,650원","만복이는 부잣집 외동아들로 태어나서 부모님 할아버지, 할머니, 삼촌, 이모들의 사랑을 듬뿍 받으며 컸습니다. 키도 크고 얼굴도 잘 생기고 공부도 잘했습니다. 하지만 왜인지, 만복이는 항상 나쁜 말만 했습니다. 좋아하는 친구에게도 ""잘난척쟁이""라고 하고 선생님한테도 화만 냈습니다. 그런 만복이의 눈앞에 만복이네 ..."
이기적 유전자 The Selfish Gene,http://image.yes24.com/goods/65067259/S,리처드 도킨스,을유문화사,"18,000원",『이기적 유전자』는 처음 출간되었을 당시 과학계와 일반 대중들에게 폭발적인 반향을 불러일으키며 세기의 문제작으로 떠올랐다. 혁신적인 통찰에 더해 사람의 마음을 휘어잡는 뛰어난 문장력과 명쾌한 구성력 또한 보여 주는 이 책은 명실상부 과학 교양서의 바이블로 일컬어지기에 손색이 없다. 또 최재천 이화여대 석...
돌이킬 수 없는 약속,http://image.yes24.com/goods/35552641/S,야쿠마루 가쿠,북플라자,"13,500원","제51회 에드가와란포상 수상 작가 야쿠마루 가쿠의 미스터리 추리 소설. ""내 딸을 살해한 놈들을 15년 후에 죽여주세요. 그 약속을 해주면 내 전 재산을 드리리다."" 주인공이 과거에 저지른 죄, 그리고 15년 전에 했던 어느 노파와의 돌이킬 수 없는 약속을 둘러싸고 벌어지는 미스터리한 사건을 숨이 막히도록 치밀하게 그..."
부자 아빠 가난한 아빠 20주년 특별 기념판,http://image.yes24.com/goods/58774995/S,로버트 기요사키,민음인,"14,220원",전 세계에서 가장 많이 팔린 경제경영서 ‘부자 아빠 가난한 아빠’ 20주년 기념  업그레이드 에디션 출간!  - 세계 금융 변화에 맞춘 41개의 NEW 코멘트 - 토론과 실천을 위한 10가지 스터디세션 등 500매 분량의 내용 추가  1997년 미국에서 처음 출간된 이래 전 세계 51가지 언어로 109개국에서 출판되어 4000만 ...
부의 추월차선,http://image.yes24.com/goods/9440838/S,엠제이 드마코,토트출판사,"13,500원","부자의 공식은 통계적 전략이 아니라, 부의 비밀을 파헤치고 지름길로 향하는 문을 여는, 완전히 심리적이고 수학적인 공식이다. 진짜 쓸모 있는 공식은 수학적으로 짜여 있을 뿐만 아니라 모호한 표현도 포함하지 않는다. 정말로 돈을 벌 수 있는 비밀, 수학적인 공식이 존재할까? 물론이다."
12가지 인생의 법칙,http://image.yes24.com/goods/66360714/S,조던 B. 피터슨,메이븐,"15,120원","2018년 전 세계를 뒤흔든 전 하버드대 심리학과 교수 조던 피터슨의 불확실한 인생을 꿰뚫는 명강의. ‘어깨를 펴고 똑바로 서라’, ‘세상을 탓하기 전에 방부터 치워라’ ‘당신에게 최고의 모습을 기대하는 사람만 만나라’ 같은 인생의 진리를 심리학, 생물학, 신화, 철학, 종교 등을 바탕으로 써내려간 책이다. 미국과..."
언어의 온도,http://image.yes24.com/goods/30387696/S,이기주,말글터,"12,420원","언어에는 나름의 온도가 있다고 생각하는 저자가 일상에서 발견한 의미 있는 말과 글을 한 권의 책에 담았다. 저자는 단어의 어원과 유래, 그런 언어가 지닌 차가움과 따뜻함을 글감 삼아, 하찮아 보이는 것들의 소중함을 예찬한다. 페이지를 넘길 때마다 문장과 문장에 호흡을 불어넣으며 뜨거운 음식을 먹듯 찬찬히 곱씹..."
아홉 살 마음 사전,http://image.yes24.com/goods/37211852/S,박성우,창비,"9,900원",어린이를 위한 감정 사전  마음을 표현하는 80개의 단어를 담은 책 『아홉 살 마음 사전』이 출간되었다. 초등학교 저학년 어린이들이 생활에서 활용할 수 있는 감정 표현을 그림과 함께 사전 형태로 소개한다. 구체적이고 실감 나는 그림과 친절한 설명을 통해 다양한 감정 표현을 익힘으로써 자기 마음을 정확하게 이해...
사서함 110호의 우편물,http://image.yes24.com/goods/24912652/S,이도우,시공사,"11,700원","“네 사랑이 무사하기를, 내 사랑도 무사하니까” 20만 독자들에게 친구가 되어준, 늘 곁에 두고 싶은 이야기  ‘다시 한 번 사랑해보기로 한’ 모든 이를 향한 따뜻한 시선  한결같이 독자들의 마음을 설레게 한 롱 스테디셀러  2004년 발표된 이래 수많은 독자들의 뜨거운 지지와 입소문으로 변함없이 사랑받고 있..."
설민석의 한국사 대모험 1,http://image.yes24.com/goods/35111247/S,설민석,아이휴먼,"8,820원","단군 신화 속 끈기, 세종대왕의 독서, 신사임당의 교육, 이순신의 초심, 안중근의 정의  『설민석의 한국사 대모험』은 곁에 두고 보는 책입니다. 어린이들이 일상에서 고민할 수 있는 문제들을 역사 속 인물을 통해 같이 생각하고 해결할 수 있습니다.가히 한국사 열풍이라고 할 수 있을 정도로 한국사에 대한 관심이 ..."
초판본 데미안,http://image.yes24.com/goods/56732792/S,헤르만 헤세,더스토리,"10,800원","헤르만 헤세 탄생 140주년 기념 초호화 패브릭 양장! 영혼의 성장 기록, 나를 찾아가는 길 『데미안』  1919년 오리지널 초판본 표지디자인!  20세기 독일 문학가들 가운데 우리나라 독자들에게 가장 잘 알려진 작가를 꼽으라고 한다면 단연 헤르만 헤세일 것이다. 내면의 탐구자이자 자아 성찰의 대표 작가인 헤르만 ..."
방구석 미술관,http://image.yes24.com/goods/63038113/S,조원재,블랙피쉬,"15,120원","“미술 문지방? 가볍게 넘는다!” 낄낄 웃다 보면 빠져드는 미술 입덕 교양서 미술 팟캐스트 독보적 1위 「방구석 미술관」  요즘은 유명 화가들의 전시를 어렵지 않게 만날 수 있다. 하지만 막상 미술관을 찾아도, 감상은커녕 동물원 구경하듯 돌다 나오는 게 현실이다. 이참에 미술 좀 배워볼까 싶어 미술책을 꺼내 ..."
시간을 파는 상점,http://image.yes24.com/goods/6699994/S,김선영,자음과모음,"9,900원",지난해(2011년 연말) 제1회 자음과모음 청소년문학상 응모작 중 단연 돋보임으로써 심사위원들의 만장일치로 선정된 작품이다. 당선작은 우리나라 청소년문학을 한 단계 끌어올릴 수 있는 힘을 가지고 있는 작품이라고 심사위원들의 극찬을 받았다.  이 작품은 흐르는 시간이라는 소재를 다루고 있다. 다분히 철학적이고 ...
나미야 잡화점의 기적,http://image.yes24.com/goods/8157957/S,히가시노 게이고,현대문학,"13,320원","지난 10년간 한국에서 가장 많이 팔린 소설이자 히가시노 게이고의 대표작. 30여 년째 비어 있는 폐가, ‘나미야 잡화점’에 숨어든 삼인조 좀도둑이 뜻밖에도 과거로부터 도착한 고민 상담 편지에 답장을 하면서 겪게 되는 기묘한 하룻밤의 이야기를 그린다. 작가는 시공간을 넘나드는 편지라는 설정을 단순한 판타지가 아..."
봉제인형 살인사건,http://image.yes24.com/goods/53802600/S,다니엘 콜,북플라자,"13,500원","영국 아마존 베스트셀러 2016년 런던 도서전 최고의 화제작 영국, 미국, 일본, 독일, 러시아 등 주요 선진국 포함 32개국 번역 출간 영국TV 드라마화 제작 확정  2016년 4월 런던 도서전에서 가장 큰 주목을 받은 소설 『봉제인형 살인사건』은 다니엘 콜의 데뷔작으로서 영국, 미국, 독일, 일본을 포함한 32개국에서 ..."
멋진 신세계,http://image.yes24.com/goods/18360997/S,올더스 헉슬리,소담출판사,"12,420원","충격적인 미래 문명 비판 문학의 고전,  『멋진 신세계』 속 냉혹한 미래상은 이미 현재 진행 중이다!   올더스 헉슬리의 예언적 소설 『멋진 신세계』는 금세기에 미래를 가장 깊이 있고 날카롭게 파헤친 작품 중의 하나다. 현대식 에덴동산에서의 삶을 그린 이 이야기는 자유와 도덕 개념이 낡은 넝마가 되어버린 현..."
정리하는 뇌,http://image.yes24.com/goods/18599174/S,대니얼 J. 레비틴,와이즈베리,"19,800원","“정보홍수, 선택과잉 시대에 생각과 인생의 좌표를 잡을 수 있는가”  인지심리학과 뇌과학 최신 연구로 밝혀낸 정보, 생각, 삶의 정리정돈기술  한때 우리는 사회가 컴퓨터화되면 반복적이고 단조로운 일은 모두 컴퓨터가 처리하고 인간은 좀 더 고귀한 목적을 위해 일하며 더 많은 여가시간을 확보할 수 있을 것이라 ..."
한밤중 달빛 식당,http://image.yes24.com/goods/59272030/S,이분희,비룡소,"8,550원","제7회 비룡소 문학상 대상 수상작   “지우고 싶은 나쁜 기억이 있으면,  ‘한밤중 달빛 식당’으로 오세요!”   기억과 선택에 대한 아름답고 환상적인 이야기    매년 신선한 작가와 작품으로 저학년 문학에 새로운 활기를 일으켜 온 비룡소 문학상이 7회를 맞아 이분희의 『한밤중 달빛 식당』을 수상작으로 발..."
엄마의 말하기 연습,http://image.yes24.com/goods/58998723/S,박재연,한빛라이프,"13,320원",엄마인 나를 위로하고   아이의 자존감을 회복시켜주는 공감 대화법    아이를 키우면서 부딪치는 많은 상황에서 아이의 마음을 현명하게 어루만지고 자존감 높은 아이로 만들어주는 대화를 이어간다면 육아가 좀 더 수월해질 것이다. 그러기 위해서는 우선 엄마가 자신을 바로 볼 수 있어야 한다. 이 책에서는 육아...
데미안,http://image.yes24.com/goods/176787/S,헤르만 헤세,민음사,"7,200원",데미안을 통해 참다운 어른이 되어 가는 소년 싱클레어의 이야기. 한 폭의 수채화같이 아름답고 유려한 문체로 전세계인의 사랑을 받고 있는 작품. 감수성이 풍부한 주인공 싱클레어가 소년기에서 청년기를 거쳐 어른으로 자라가는 과정이 세밀하고 지적인 문장으로 그려져 있습니다. 진저한 삶에 대해 고민하고 올바르게 ...
설민석의 한국사 대모험 2,http://image.yes24.com/goods/35887706/S,설민석,아이휴먼,"9,450원","삼국 통일, 몽골 침입, 조선 건국, 3·1 운동, 독도 이번에는 한반도를 뒤흔든 사건을 알아보자!  『설민석의 한국사 대모험』은 곁에 두고 보는 책입니다. 어린이들이 일상에서 고민할 수 있는 문제들을 역사 속 인물을 통해 같이 생각하고 해결할 수 있습니다. 『설민석의 한국사 대모험』 시리즈는 한국사 지식을 전달..."
세상에서 제일 재밌는 종이접기,http://image.yes24.com/goods/63592662/S,이원표,슬로래빗,"12,600원","세상에서 제일 쉬운 시리즈 6권. 종이접기를 처음 시작하는 유아부터 수준 높은 작품을 원하는 성인까지 온 가족이 함께 볼 수 있는 175개 작품을 수록한 종이접기 대백과이다. 도안이 어려운 과정은 생생한 사진과 동영상을 함께 수록하여 쉽게 따라 할 수 있고, 작품별 접는 방법과 횟수에 따라 등급을 구분하여 작품을 ..."
아내를 모자로 착각한 남자,http://image.yes24.com/goods/30548896/S,올리버 색스,알마,"16,650원","우리 시대의 위대한 의사, 별이 되다 인간을 보는 새롭고 따뜻한 눈을 제시한 올리버 색스의 대표작. 2016월드일러스트레이션 어워즈 수상작가 이정호의 그림과 만나다.   이 시대 가장 영향력 있는 신경학자이자 베스트셀러 저술가였던 올리버 색스. 1985년 영국 현지 출간 이래 30년 넘게 전 세계 독자들에게 폭 넓게..."
정의란 무엇인가,http://image.yes24.com/goods/15156691/S,마이클 샌델,와이즈베리,"13,500원","한국에 ‘정의’ 열풍을 불러일으킨 마이클 샌델은 구제 금융, 대리 출산, 동성 결혼, 과거사 공개 사과 등 현대 사회에서 우리가 흔히 부딪히는 문제를 통해 ‘무엇이 정의로운가’에 대한 해답을 탐구했다. 이 책은 탁월한 정치 철학자들이 남긴 시대를 초월한 철학적인 질문을 알기 쉽게 소개한다. 이를 통해 옳고 그름,..."
[예스리커버] 불량한 자전거 여행,http://image.yes24.com/goods/3486146/S,김남중,창비,"9,720원","[리커버 편집자의 말] 『불량한 자전거 여행』은 주인공인 호진이가 자전거를 타고 성장하는 이야기를 담은 동화입니다. 2009년 처음 출간된 후에 많은 독자의 사랑을 받았고, 호진이의 여행 이야기를 더 듣고 싶은 어린이들의 성원에 힘입어 10년 만인 2019년에 후속작이 출간되었습니다. 어린이들의 힘찬 응원이 계속 이..."
설민석 쌤과 함께 부르는 한국을 빛낸 100명의 위인들,http://image.yes24.com/goods/56002311/S,설민석,아이휴먼,"14,400원","설민석 쌤과 함께 신나게 노래 부르며 한국사 여행을 떠나요!  한국사 대중화를 위해 다양한 저술 활동과 방송 활동을 하고 있는 저자 설민석이 이번에는 유아, 어린이를 위한 한국사 사운드북을 펴냈습니다. ‘한국을 빛낸 100명의 위인들’ 노래를 따라 부르며 위대한 업적을 남긴 위인들의 이름을 기억하고, 이후 자연..."
영어회화 100일의 기적,http://image.yes24.com/goods/18116912/S,문성현,넥서스,"12,150원","평생 영어 초보, 영어 포기자를 위한 D-100 말문트기 프로젝트. 책과 강의, 그리고 스피킹 훈련으로 보고 듣고 말하는 3D 입체 학습을 제공한다. 원어민이 직접 녹음한 생생한 대화문으로 원어민의 뉘앙스와 주요 표현을 익히고, 국내파 영어연수 전문가 문코치의 해설 강의로 탄탄하게 실력을 다진다."
자존감 수업,http://image.yes24.com/goods/30548474/S,윤홍균,심플라이프,"12,600원","심리학 책 아무리 읽어도 자존감 그대로인 사람에게 추천하는 책!  정신과 의사 ‘윤답장’ 선생의 자존감 셀프 코칭법  자존감 전문가이자 정신과 의사인 윤홍균 원장이 2년 넘게 심혈을 기울여 쓴 책으로, 자존감이 우리 삶에 미치는 영향을 친절하게 알려주고, 자존감을 끌어올리는 실질적인 방법을 알려주는 책. 높..."
열두 발자국,http://image.yes24.com/goods/61557678/S,정재승,어크로스,"15,120원","창의적인 사람들의 뇌에서는 어떤 일이 벌어지고 있을까, 4차 산업혁명 시대, 새로운 기회를 어떻게 발견할 것인가. 숨 가쁘게 변화하는 시대의 한 가운데에서 늘 질문을 던지고 독자들과 함께 해답을 탐색하는 정재승 교수의 지난 10여 년 간의 강연 중 가장 많은 호응을 받았던 12개의 강연을 선별하여 다시 집필했다. 더..."
설민석의 한국사 대모험 3,http://image.yes24.com/goods/38922887/S,설민석,아이휴먼,"9,450원","경주, 불국사와 석굴암, 한글, 수원 화성, 조선왕조실록 세계 최고라 자부할 수 있는 우리의 문화유산을 배우고 기억합니다. 설쌤과 함께 우리의 자랑스러운 문화유산을 알아보는 역사 여행을 떠나요!  『설민석의 한국사 대모험 3』에서는 갑작스러운 왕의 부름에 설쌤과 평강은 온달과 함께 우리나라의 문화유산을 ..."
